full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data,sentiment
@auditams @SelebtwitMobil BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak. makanya binguo lgsg turun harga,BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak makanya binguo lgsg turun harga,byd di amerika sana udah ngalahin tesla karena emang sebagus itu merk byd mg juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi mg ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak makanya binguo lgsg turun harga,"['byd', 'di', 'amerika', 'sana', 'udah', 'ngalahin', 'tesla', 'karena', 'emang', 'sebagus', 'itu', 'merk', 'byd', 'mg', 'juga', 'jadi', 'salah', 'satu', 'opsi', 'terbaik', 'mobil', 'listrik', 'di', 'harganya', 'soalnya', 'harga', 'resmi', 'mg', 'ga', 'beda', 'jauh', 'sama', 'wuling', 'binguo', 'saat', 'itu', 'dengan', 'fitur', 'yang', 'lebih', 'banyak', 'makanya', 'binguo', 'lgsg', 'turun', 'harga']","['byd', 'amerika', 'udah', 'ngalahin', 'tesla', 'emang', 'sebagus', 'merk', 'byd', 'mg', 'salah', 'opsi', 'terbaik', 'mobil', 'listrik', 'harganya', 'harga', 'resmi', 'mg', 'ga', 'beda', 'wuling', 'binguo', 'fitur', 'binguo', 'lgsg', 'turun', 'harga']",byd amerika udah ngalahin tesla emang bagus merk byd mg salah opsi baik mobil listrik harga harga resmi mg ga beda wuling binguo fitur binguo lgsg turun harga,1
@innovacommunity semua bengkel bisa ngatasin mobil listrik ga? atau harus ke bengkel resminya.,semua bengkel bisa ngatasin mobil listrik ga atau harus ke bengkel resminya,semua bengkel bisa ngatasin mobil listrik ga atau harus ke bengkel resminya,"['semua', 'bengkel', 'bisa', 'ngatasin', 'mobil', 'listrik', 'ga', 'atau', 'harus', 'ke', 'bengkel', 'resminya']","['bengkel', 'ngatasin', 'mobil', 'listrik', 'ga', 'bengkel', 'resminya']",bengkel ngatasin mobil listrik ga bengkel resmi,1
Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujung-ujungnya nabrak. Gw pernah ada masanya seperti itu pas masih belajar mobil (malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk).,Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujungujungnya nabrak Gw pernah ada masanya seperti itu pas masih belajar mobil malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk,sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujungujungnya nabrak gw pernah ada masanya seperti itu pas masih belajar mobil malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk,"['sebenarnya', 'mau', 'marah', 'tapi', 'kasian', 'pacar', 'sendiri', 'nanti', 'emosionalnya', 'terguncang', 'dan', 'ujungujungnya', 'nabrak', 'gw', 'pernah', 'ada', 'masanya', 'seperti', 'itu', 'pas', 'masih', 'belajar', 'mobil', 'malah', 'waktu', 'gw', 'awal', 'belajar', 'masuk', 'gang', 'mobil', 'kegores', 'tiang', 'listrik', 'sampe', 'dimarahin', 'ortu', 'dan', 'nangis', 'wkwk']","['marah', 'kasian', 'pacar', 'emosionalnya', 'terguncang', 'ujungujungnya', 'nabrak', 'gw', 'masanya', 'pas', 'belajar', 'mobil', 'gw', 'belajar', 'masuk', 'gang', 'mobil', 'kegores', 'tiang', 'listrik', 'sampe', 'dimarahin', 'ortu', 'nangis', 'wkwk']",marah kasi pacar emosional guncang ujungujungnya nabrak gw masa pas ajar mobil gw ajar masuk gang mobil gores tiang listrik sampe dimarahin ortu nang wkwk,0
@F_OllaJKT48 rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,"['rocky', 'km', 'dicat', 'pink', 'aja', 'eh', 'atau', 'gak', 'beli', 'wuling', 'mobil', 'listrik', 'yg', 'kecil', 'itu', 'warna', 'pinkkkk']","['rocky', 'km', 'dicat', 'pink', 'aja', 'eh', 'gak', 'beli', 'wuling', 'mobil', 'listrik', 'yg', 'warna', 'pinkkkk']",rocky km cat pink aja eh gak beli wuling mobil listrik yg warna pinkkkk,1
@innovacommunity takut meledak ga sih? ya semua mobil bisa tapi ini resikonya lebih tinggi. electric? jadi gabisa dipake 5or10thn kedepan dong harus selalu update kaya hp? harrier 2010 aja masih mantep sampe sekarang mobil listrik? entahlah.,takut meledak ga sih ya semua mobil bisa tapi ini resikonya lebih tinggi electric jadi gabisa dipake orthn kedepan dong harus selalu update kaya hp harrier  aja masih mantep sampe sekarang mobil listrik entahlah,takut meledak ga sih ya semua mobil bisa tapi ini resikonya lebih tinggi electric jadi gabisa dipake orthn kedepan dong harus selalu update kaya hp harrier  aja masih mantep sampe sekarang mobil listrik entahlah,"['takut', 'meledak', 'ga', 'sih', 'ya', 'semua', 'mobil', 'bisa', 'tapi', 'ini', 'resikonya', 'lebih', 'tinggi', 'electric', 'jadi', 'gabisa', 'dipake', 'orthn', 'kedepan', 'dong', 'harus', 'selalu', 'update', 'kaya', 'hp', 'harrier', 'aja', 'masih', 'mantep', 'sampe', 'sekarang', 'mobil', 'listrik', 'entahlah']","['takut', 'meledak', 'ga', 'sih', 'ya', 'mobil', 'resikonya', 'electric', 'gabisa', 'dipake', 'orthn', 'kedepan', 'update', 'kaya', 'hp', 'harrier', 'aja', 'mantep', 'sampe', 'mobil', 'listrik']",takut ledak ga sih ya mobil resiko electric gabisa dipake orthn depan update kaya hp harrier aja mantep sampe mobil listrik,0
@innovacommunity Kalo tujuan beli mobil listrik cuma buat mengakali ganjil/genap. Naik @Bluebirdgroup setahun paling cuma habis 10-20 jt. Ga perlu beli mobil listrik ga perlu perawatan dll.,Kalo tujuan beli mobil listrik cuma buat mengakali ganjilgenap Naik  setahun paling cuma habis  jt Ga perlu beli mobil listrik ga perlu perawatan dll,kalo tujuan beli mobil listrik cuma buat mengakali ganjilgenap naik  setahun paling cuma habis  jt ga perlu beli mobil listrik ga perlu perawatan dll,"['kalo', 'tujuan', 'beli', 'mobil', 'listrik', 'cuma', 'buat', 'mengakali', 'ganjilgenap', 'naik', 'setahun', 'paling', 'cuma', 'habis', 'jt', 'ga', 'perlu', 'beli', 'mobil', 'listrik', 'ga', 'perlu', 'perawatan', 'dll']","['kalo', 'tujuan', 'beli', 'mobil', 'listrik', 'mengakali', 'ganjilgenap', 'setahun', 'habis', 'jt', 'ga', 'beli', 'mobil', 'listrik', 'ga', 'perawatan', 'dll']",kalo tuju beli mobil listrik akal ganjilgenap tahun habis jt ga beli mobil listrik ga awat dll,0
@innovacommunity Buat apa? Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama. Punya mobil itu untuk mempermudah hidup bukan malah mempersulit.,Buat apa Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama Punya mobil itu untuk mempermudah hidup bukan malah mempersulit,buat apa mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama punya mobil itu untuk mempermudah hidup bukan malah mempersulit,"['buat', 'apa', 'mobil', 'listrik', 'bukan', 'buat', 'jarak', 'jauh', 'ngisi', 'batere', 'lama', 'kalau', 'rusak', 'biaya', 'perbaikannya', 'mahal', 'dan', 'lama', 'punya', 'mobil', 'itu', 'untuk', 'mempermudah', 'hidup', 'bukan', 'malah', 'mempersulit']","['mobil', 'listrik', 'jarak', 'ngisi', 'batere', 'rusak', 'biaya', 'perbaikannya', 'mahal', 'mobil', 'mempermudah', 'hidup', 'mempersulit']",mobil listrik jarak ngisi batere rusak biaya baik mahal mobil mudah hidup sulit,0
@innovacommunity Bengkel2 umum belum siap maintenance mobil listrik. Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur...,Bengkel umum belum siap maintenance mobil listrik Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur,bengkel umum belum siap maintenance mobil listrik segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur,"['bengkel', 'umum', 'belum', 'siap', 'maintenance', 'mobil', 'listrik', 'segala', 'perbaikan', 'kecil', 'pun', 'harus', 'ke', 'bengkel', 'resmi', 'atau', 'garansi', 'gugur']","['bengkel', 'maintenance', 'mobil', 'listrik', 'perbaikan', 'bengkel', 'resmi', 'garansi', 'gugur']",bengkel maintenance mobil listrik baik bengkel resmi garansi gugur,0
@innovacommunity Gue akan beli mobil listrik.Tapi bukan di masa ini. Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg.,Gue akan beli mobil listrikTapi bukan di masa ini Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg,gue akan beli mobil listriktapi bukan di masa ini mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil bbm skrg,"['gue', 'akan', 'beli', 'mobil', 'listriktapi', 'bukan', 'di', 'masa', 'ini', 'mungkin', 'tunggu', 'sekitar', 'bbrpa', 'tahun', 'ke', 'depan', 'hingga', 'mobil', 'listrik', 'bisa', 'sepraktis', 'dan', 'sereliabel', 'mobil', 'bbm', 'skrg']","['gue', 'beli', 'mobil', 'listriktapi', 'tunggu', 'bbrpa', 'mobil', 'listrik', 'sepraktis', 'sereliabel', 'mobil', 'bbm', 'skrg']",gue beli mobil listriktapi tunggu bbrpa mobil listrik praktis reliabel mobil bbm skrg,1
@trwify Tukang parkir mobil listrik,Tukang parkir mobil listrik,tukang parkir mobil listrik,"['tukang', 'parkir', 'mobil', 'listrik']","['tukang', 'parkir', 'mobil', 'listrik']",tukang parkir mobil listrik,1
