full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data
@auditams @SelebtwitMobil BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak. makanya binguo lgsg turun harga,auditams SelebtwitMobil BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak makanya binguo lgsg turun harga,auditams selebtwitmobil byd di amerika sana udah ngalahin tesla karena emang sebagus itu merk byd mg juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi mg ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak makanya binguo lgsg turun harga,"['auditams', 'selebtwitmobil', 'byd', 'di', 'amerika', 'sana', 'udah', 'ngalahin', 'tesla', 'karena', 'emang', 'sebagus', 'itu', 'merk', 'byd', 'mg', 'juga', 'jadi', 'salah', 'satu', 'opsi', 'terbaik', 'mobil', 'listrik', 'di', 'harganya', 'soalnya', 'harga', 'resmi', 'mg', 'ga', 'beda', 'jauh', 'sama', 'wuling', 'binguo', 'saat', 'itu', 'dengan', 'fitur', 'yang', 'lebih', 'banyak', 'makanya', 'binguo', 'lgsg', 'turun', 'harga']","['auditams', 'selebtwitmobil', 'byd', 'amerika', 'udah', 'ngalahin', 'tesla', 'emang', 'sebagus', 'merk', 'byd', 'mg', 'salah', 'opsi', 'terbaik', 'mobil', 'listrik', 'harganya', 'harga', 'resmi', 'mg', 'ga', 'beda', 'wuling', 'binguo', 'fitur', 'binguo', 'lgsg', 'turun', 'harga']",auditams selebtwitmobil byd amerika udah ngalahin tesla emang bagus merk byd mg salah opsi baik mobil listrik harga harga resmi mg ga beda wuling binguo fitur binguo lgsg turun harga
@innovacommunity semua bengkel bisa ngatasin mobil listrik ga? atau harus ke bengkel resminya.,innovacommunity semua bengkel bisa ngatasin mobil listrik ga atau harus ke bengkel resminya,innovacommunity semua bengkel bisa ngatasin mobil listrik ga atau harus ke bengkel resminya,"['innovacommunity', 'semua', 'bengkel', 'bisa', 'ngatasin', 'mobil', 'listrik', 'ga', 'atau', 'harus', 'ke', 'bengkel', 'resminya']","['innovacommunity', 'bengkel', 'ngatasin', 'mobil', 'listrik', 'ga', 'bengkel', 'resminya']",innovacommunity bengkel ngatasin mobil listrik ga bengkel resmi
Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujung-ujungnya nabrak. Gw pernah ada masanya seperti itu pas masih belajar mobil (malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk).,Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujungujungnya nabrak Gw pernah ada masanya seperti itu pas masih belajar mobil malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk,sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujungujungnya nabrak gw pernah ada masanya seperti itu pas masih belajar mobil malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk,"['sebenarnya', 'mau', 'marah', 'tapi', 'kasian', 'pacar', 'sendiri', 'nanti', 'emosionalnya', 'terguncang', 'dan', 'ujungujungnya', 'nabrak', 'gw', 'pernah', 'ada', 'masanya', 'seperti', 'itu', 'pas', 'masih', 'belajar', 'mobil', 'malah', 'waktu', 'gw', 'awal', 'belajar', 'masuk', 'gang', 'mobil', 'kegores', 'tiang', 'listrik', 'sampe', 'dimarahin', 'ortu', 'dan', 'nangis', 'wkwk']","['marah', 'kasian', 'pacar', 'emosionalnya', 'terguncang', 'ujungujungnya', 'nabrak', 'gw', 'masanya', 'pas', 'belajar', 'mobil', 'gw', 'belajar', 'masuk', 'gang', 'mobil', 'kegores', 'tiang', 'listrik', 'sampe', 'dimarahin', 'ortu', 'nangis', 'wkwk']",marah kasi pacar emosional guncang ujungujungnya nabrak gw masa pas ajar mobil gw ajar masuk gang mobil gores tiang listrik sampe dimarahin ortu nang wkwk
@F_OllaJKT48 rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,FOllaJKT rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,follajkt rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,"['follajkt', 'rocky', 'km', 'dicat', 'pink', 'aja', 'eh', 'atau', 'gak', 'beli', 'wuling', 'mobil', 'listrik', 'yg', 'kecil', 'itu', 'warna', 'pinkkkk']","['follajkt', 'rocky', 'km', 'dicat', 'pink', 'aja', 'eh', 'gak', 'beli', 'wuling', 'mobil', 'listrik', 'yg', 'warna', 'pinkkkk']",follajkt rocky km cat pink aja eh gak beli wuling mobil listrik yg warna pinkkkk
@innovacommunity takut meledak ga sih? ya semua mobil bisa tapi ini resikonya lebih tinggi. electric? jadi gabisa dipake 5or10thn kedepan dong harus selalu update kaya hp? harrier 2010 aja masih mantep sampe sekarang mobil listrik? entahlah.,innovacommunity takut meledak ga sih ya semua mobil bisa tapi ini resikonya lebih tinggi electric jadi gabisa dipake orthn kedepan dong harus selalu update kaya hp harrier  aja masih mantep sampe sekarang mobil listrik entahlah,innovacommunity takut meledak ga sih ya semua mobil bisa tapi ini resikonya lebih tinggi electric jadi gabisa dipake orthn kedepan dong harus selalu update kaya hp harrier  aja masih mantep sampe sekarang mobil listrik entahlah,"['innovacommunity', 'takut', 'meledak', 'ga', 'sih', 'ya', 'semua', 'mobil', 'bisa', 'tapi', 'ini', 'resikonya', 'lebih', 'tinggi', 'electric', 'jadi', 'gabisa', 'dipake', 'orthn', 'kedepan', 'dong', 'harus', 'selalu', 'update', 'kaya', 'hp', 'harrier', 'aja', 'masih', 'mantep', 'sampe', 'sekarang', 'mobil', 'listrik', 'entahlah']","['innovacommunity', 'takut', 'meledak', 'ga', 'sih', 'ya', 'mobil', 'resikonya', 'electric', 'gabisa', 'dipake', 'orthn', 'kedepan', 'update', 'kaya', 'hp', 'harrier', 'aja', 'mantep', 'sampe', 'mobil', 'listrik']",innovacommunity takut ledak ga sih ya mobil resiko electric gabisa dipake orthn depan update kaya hp harrier aja mantep sampe mobil listrik
@innovacommunity Kalo tujuan beli mobil listrik cuma buat mengakali ganjil/genap. Naik @Bluebirdgroup setahun paling cuma habis 10-20 jt. Ga perlu beli mobil listrik ga perlu perawatan dll. ,innovacommunity Kalo tujuan beli mobil listrik cuma buat mengakali ganjilgenap Naik Bluebirdgroup setahun paling cuma habis  jt Ga perlu beli mobil listrik ga perlu perawatan dll ,innovacommunity kalo tujuan beli mobil listrik cuma buat mengakali ganjilgenap naik bluebirdgroup setahun paling cuma habis  jt ga perlu beli mobil listrik ga perlu perawatan dll ,"['innovacommunity', 'kalo', 'tujuan', 'beli', 'mobil', 'listrik', 'cuma', 'buat', 'mengakali', 'ganjilgenap', 'naik', 'bluebirdgroup', 'setahun', 'paling', 'cuma', 'habis', 'jt', 'ga', 'perlu', 'beli', 'mobil', 'listrik', 'ga', 'perlu', 'perawatan', 'dll']","['innovacommunity', 'kalo', 'tujuan', 'beli', 'mobil', 'listrik', 'mengakali', 'ganjilgenap', 'bluebirdgroup', 'setahun', 'habis', 'jt', 'ga', 'beli', 'mobil', 'listrik', 'ga', 'perawatan', 'dll']",innovacommunity kalo tuju beli mobil listrik akal ganjilgenap bluebirdgroup tahun habis jt ga beli mobil listrik ga awat dll
@innovacommunity Buat apa? Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama. Punya mobil itu untuk mempermudah hidup bukan malah mempersulit.,innovacommunity Buat apa Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama Punya mobil itu untuk mempermudah hidup bukan malah mempersulit,innovacommunity buat apa mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama punya mobil itu untuk mempermudah hidup bukan malah mempersulit,"['innovacommunity', 'buat', 'apa', 'mobil', 'listrik', 'bukan', 'buat', 'jarak', 'jauh', 'ngisi', 'batere', 'lama', 'kalau', 'rusak', 'biaya', 'perbaikannya', 'mahal', 'dan', 'lama', 'punya', 'mobil', 'itu', 'untuk', 'mempermudah', 'hidup', 'bukan', 'malah', 'mempersulit']","['innovacommunity', 'mobil', 'listrik', 'jarak', 'ngisi', 'batere', 'rusak', 'biaya', 'perbaikannya', 'mahal', 'mobil', 'mempermudah', 'hidup', 'mempersulit']",innovacommunity mobil listrik jarak ngisi batere rusak biaya baik mahal mobil mudah hidup sulit
@innovacommunity Bengkel2 umum belum siap maintenance mobil listrik. Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur...,innovacommunity Bengkel umum belum siap maintenance mobil listrik Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur,innovacommunity bengkel umum belum siap maintenance mobil listrik segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur,"['innovacommunity', 'bengkel', 'umum', 'belum', 'siap', 'maintenance', 'mobil', 'listrik', 'segala', 'perbaikan', 'kecil', 'pun', 'harus', 'ke', 'bengkel', 'resmi', 'atau', 'garansi', 'gugur']","['innovacommunity', 'bengkel', 'maintenance', 'mobil', 'listrik', 'perbaikan', 'bengkel', 'resmi', 'garansi', 'gugur']",innovacommunity bengkel maintenance mobil listrik baik bengkel resmi garansi gugur
@innovacommunity Gue akan beli mobil listrik.Tapi bukan di masa ini. Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg.,innovacommunity Gue akan beli mobil listrikTapi bukan di masa ini Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg,innovacommunity gue akan beli mobil listriktapi bukan di masa ini mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil bbm skrg,"['innovacommunity', 'gue', 'akan', 'beli', 'mobil', 'listriktapi', 'bukan', 'di', 'masa', 'ini', 'mungkin', 'tunggu', 'sekitar', 'bbrpa', 'tahun', 'ke', 'depan', 'hingga', 'mobil', 'listrik', 'bisa', 'sepraktis', 'dan', 'sereliabel', 'mobil', 'bbm', 'skrg']","['innovacommunity', 'gue', 'beli', 'mobil', 'listriktapi', 'tunggu', 'bbrpa', 'mobil', 'listrik', 'sepraktis', 'sereliabel', 'mobil', 'bbm', 'skrg']",innovacommunity gue beli mobil listriktapi tunggu bbrpa mobil listrik praktis reliabel mobil bbm skrg
@trwify Tukang parkir mobil listrik ,trwify Tukang parkir mobil listrik ,trwify tukang parkir mobil listrik ,"['trwify', 'tukang', 'parkir', 'mobil', 'listrik']","['trwify', 'tukang', 'parkir', 'mobil', 'listrik']",trwify tukang parkir mobil listrik
